"Code","Stock","Prv Close","High","Low","Last","Vol","Status","P/E","EPS*","MACD (26, 12)","Vol MA (20)","DY*","Y-Low","Y-High","RSI (14)","Open","Sector","Chg","B%"
="0650EN","FBMKLCI-HEN","0.185","0.180","0.180","0.180","200","Active","","","","-","","0.140","0.185","0%","0.180","358","-0.005","-"
="2755","FCW","1.800","-","-","","0","Active","27.72","7.50","0.001","3315","","1.600","2.200","69%","","101","","-"
="5322","FEYTECH","0.250","0.250","0.245","0.245","4429","Active","19.80","1.24","-0.005","349920","","0.245","0.535","40%","0.250","102","-0.005","48"
="5306","FFB","2.550","2.580","2.500","2.530","92821","Active","44.42","5.68","-0.047","5672375","0.87%","1.600","3.030","20%","2.550","101","-0.020","36"
="530618","FFB-C18","0.295","-","-","","0","Active","","","","180165","","0.040","0.360","76%","","301","","-"
="530619","FFB-C19","0.400","-","-","","0","Active","","","0.002","752510","","0.050","0.575","39%","","301","","-"
="530620","FFB-C20","0.270","-","-","","0","Active","","","0.044","19850","","0.040","0.305","76%","","301","","-"
="530621","FFB-C21","0.340","-","-","","0","Active","","","0.039","1100510","","0.100","0.415","52%","","301","","-"
="530622","FFB-C22","-","-","-","","0","Delisted","","","0.092","144165","","0.095","0.655","67%","","301","","-"
="530623","FFB-C23","0.330","-","-","","0","Active","","","","102510","","0.085","0.350","79%","","301","","-"
="530624","FFB-C24","0.195","-","-","","0","Active","","","0.028","123530","","0.090","0.340","53%","","301","","-"
="530625","FFB-C25","0.045","-","-","","0","Active","","","-0.007","245610","","0.045","0.120","19%","","301","","-"
="530626","FFB-C26","0.125","-","-","","0","Active","","","-0.022","507080","","0.105","0.350","23%","","301","","-"
="530627","FFB-C27","0.140","-","-","","0","Active","","","0.033","227050","","0.090","0.235","50%","","301","","-"
="530628","FFB-C28","0.080","0.075","0.070","0.075","2400","Active","","","0.001","80030","","0.060","0.240","31%","0.070","301","-0.005","46"
="530629","FFB-C29","0.045","0.045","0.045","0.045","1","Active","","","-0.006","491365","","0.040","0.120","41%","0.045","301","-","-"
="530630","FFB-C30","0.060","0.060","0.055","0.060","1100","Active","","","-0.015","527100","","0.055","0.180","18%","0.060","301","-","73"
="530631","FFB-C31","0.035","-","-","","0","Active","","","","-","","0.035","0.065","0%","","301","","-"
="530632","FFB-C32","0.035","0.035","0.035","0.035","1000","Active","","","-0.008","101100","","0.035","0.105","17%","0.035","301","-","-"
="530633","FFB-C33","0.050","0.050","0.045","0.045","16256","Active","","","-0.019","985000","","0.045","0.160","17%","0.050","301","-0.005","51"
="530634","FFB-C34","0.050","0.050","0.050","0.050","6068","Active","","","","1635905","","0.050","0.135","28%","0.050","301","-","61"
="530635","FFB-C35","0.020","0.020","0.020","0.020","25","Active","","","","-","","0.020","0.060","0%","0.020","301","-","100"
="530636","FFB-C36","0.200","-","-","","0","Active","","","","-","","","","0%","","301","","-"
="6939","FIAMMA","1.030","1.030","1.030","1.030","342","Active","8.03","12.24","-0.015","149530","","0.980","1.270","27%","1.030","101","-","44"
="0149","FIBON","0.370","0.425","0.370","0.425","678","Active","9.41","4.53","-0.005","11545","","0.305","0.460","42%","0.380","102","+0.055","38"
="0355","FIBRO","0.830","0.850","0.800","0.830","1071","Active","12.60","6.90","0.032","355905","","0.410","0.975","74%","0.850","402","-","8"
="8605","FIHB","0.300","0.335","0.290","0.335","22","Active","230.15","0.15","-0.014","52070","","0.200","0.435","47%","0.290","101","+0.035","5"
="8605PB","FIHB-PB","0.060","-","-","","0","Active","","","0.005","33460","","0.080","0.080","35%","","101","","-"
="3107","FIMACOR","1.660","-","-","","0","Active","10.38","13.40","-0.002","29535","7.53%","1.570","1.820","35%","","102","","-"
="0150","FINTEC","0.075","0.075","0.075","0.075","1405","Active","","-44.32","","177510","","0.065","0.170","50%","0.075","410","-","-"
="0150PA","FINTEC-PA","0.040","-","-","","0","Active","","","-0.013","14835","","0.030","0.085","50%","","410","","-"
="9318","FITTERS","0.030","0.030","0.030","0.030","3","Active","53.50","0.06","-0.001","1148570","","0.020","0.040","44%","0.030","102","-","-"
="9318WC","FITTERS-WC","0.005","-","-","","0","Active","","","","22515","","0.005","0.005","100%","","102","","-"
="5197","FLBHD","0.235","0.230","0.200","0.220","3094","Active","","-6.85","-0.001","77570","9.09%","0.205","0.350","50%","0.230","102","-0.015","9"
="0231","FLEXI","0.130","0.130","0.115","0.130","371","Active","","-3.85","","42430","","0.050","0.185","50%","0.115","402","-","100"
="7210","FM","0.590","0.595","0.585","0.595","807","Active","9.45","5.57","0.001","205895","7.56%","0.525","0.615","40%","0.590","164","+0.005","3"
="0116","FOCUS","0.005","0.010","0.005","0.005","2153","Active","","-0.21","","1855545","","0.005","0.025","43%","0.005","401","-","-"
="0116PA","FOCUS-PA","0.005","-","-","","0","Active","","","","317400","","0.005","0.010","100%","","401","","-"
="0157","FOCUSP","0.500","0.500","0.495","0.495","3113","Active","8.71","5.69","0.001","375095","7.19%","0.455","0.810","56%","0.500","101","-0.005","83"
="0382","FOODIE","0.390","0.395","0.370","0.385","22437","Active","36.64","1.25","-0.010","1976830","","0.330","0.570","44%","0.390","463","-0.005","43"
="5277","FPGROUP","0.320","0.320","0.310","0.310","3883","Active","495.51","0.29","-0.002","669480","4.84%","0.210","0.410","67%","0.315","102","-0.010","11"
="0304","FPHB","0.355","0.375","0.355","0.370","651","Active","17.99","2.04","-0.004","75415","","0.350","0.515","30%","0.355","401","+0.015","52"
="0304WA","FPHB-WA","0.125","-","-","","0","Active","","","-0.003","44280","","0.100","0.195","33%","","401","","-"
="9172","FPI","1.180","1.200","1.180","1.190","11329","Active","8.77","14.26","-0.013","442700","75.63%","1.040","2.730","59%","1.180","101","+0.010","48"
="0128","FRONTKN","3.800","3.910","3.710","3.900","33033","Active","38.49","9.65","-0.066","3727845","0.51%","2.630","4.830","44%","3.710","105","+0.100","52"
="012842","FRONTKN-C42","-","-","-","","0","Delisted","","","-0.023","425070","","0.010","0.240","16%","","305","","-"
="012843","FRONTKN-C43","0.030","-","-","","0","Active","","","-0.020","322120","","0.030","0.155","7%","","305","","-"
="012844","FRONTKN-C44","-","-","-","","0","Delisted","","","-0.010","1021510","","0.015","0.140","25%","","305","","-"
